"","RMSE","MAE","modelo","RMSE_porc","MAE_porc","nombre"
"2",2069.90710032639,1796.56291294013,"ETS",4.61276053868407,4.00361663997712,"06020101_montmelo_la_junquera"
"3",3615.84749015546,2328.06672223354,"ARIMA",8.05786820764028,5.1880658344759,"06020101_montmelo_la_junquera"
"4",4292.43578939554,3674.51292049732,"ETS_log",9.56563626504628,8.1886033416099,"06020101_montmelo_la_junquera"
"5",9680.41780561841,6613.79546434661,"ARIMA_log",21.5726827762898,14.7387555335479,"06020101_montmelo_la_junquera"
"6",3655.63737847549,3133.73752294276,"ETS",7.14556901157262,6.1254264074957,"06020102_barcelona_tarragona_A_7"
"7",6007.41517086025,5416.0107382039,"ARIMA",11.7425212733906,10.5865200758489,"06020102_barcelona_tarragona_A_7"
"8",2896.34647822396,2500.56176836821,"ETS_log",5.66140497507592,4.88777601104039,"06020102_barcelona_tarragona_A_7"
"9",6100.67360598273,5503.9397280378,"ARIMA_log",11.9248108483913,10.7583923377629,"06020102_barcelona_tarragona_A_7"
"10",4347.66726442051,3721.50839568872,"ETS",4.04118387903453,3.45916529938347,"06020103_montmelo_papiol_A_7"
"11",6190.01385079351,4740.10459737852,"ARIMA",5.75365653888451,4.40595683129324,"06020103_montmelo_papiol_A_7"
"12",3899.25319075999,3311.63049937216,"ETS_log",3.62438019664633,3.07818123454432,"06020103_montmelo_papiol_A_7"
"13",3494.52587187336,2689.64389746676,"ARIMA_log",3.24818362570026,2.50004080296955,"06020103_montmelo_papiol_A_7"
"14",1592.36039527067,1348.99330521335,"ETS",14.3890154544858,12.1898821236466,"06020201_zaragoza_mediterraneo_A_2"
"15",2161.31410472474,1921.86230157364,"ARIMA",19.5302408595739,17.3664871601106,"06020201_zaragoza_mediterraneo_A_2"
"16",1906.1671786308,1629.47999734065,"ETS_log",17.2246616240979,14.724438597033,"06020201_zaragoza_mediterraneo_A_2"
"17",2241.03112979529,1994.22273083195,"ARIMA_log",20.2505862720399,18.0203563080644,"06020201_zaragoza_mediterraneo_A_2"
"18",1823.7853123612,1248.87128998215,"ETS",6.71002690346284,4.59481710810211,"06020202_villalba_adanero_A_6"
"19",3799.05776462298,3365.53492633289,"ARIMA",13.9774016358461,12.3823948724536,"06020202_villalba_adanero_A_6"
"20",2096.12449589856,1595.37549703537,"ETS_log",7.7120106545201,5.86966702367684,"06020202_villalba_adanero_A_6"
"21",3780.83633092712,3335.81786351383,"ARIMA_log",13.9103617767738,12.2730605721627,"06020202_villalba_adanero_A_6"
"22",2624.23232155852,2133.85313214241,"ETS",13.1464685597702,10.6898436096606,"06020203_sevilla_cadiz"
"23",2984.33343749749,2379.74268409091,"ARIMA",14.9504467975728,11.921662621,"06020203_sevilla_cadiz"
"24",2918.24251267901,2397.11826277143,"ETS_log",14.6193548214263,12.0087080769052,"06020203_sevilla_cadiz"
"25",3341.84933529545,2409.80839110433,"ARIMA_log",16.7414740139541,12.0722810966327,"06020203_sevilla_cadiz"
"26",1399.76363346501,1032.82021443093,"ETS",7.79725731653861,5.75323203225785,"06020301_tarragona_valencia_A_7"
"27",2331.57076721524,1925.01747161106,"ARIMA",12.9878050758425,10.7231365397229,"06020301_tarragona_valencia_A_7"
"28",1300.81036849371,975.249915119272,"ETS_log",7.24604706157371,5.43254186229541,"06020301_tarragona_valencia_A_7"
"29",3271.1068942153,2751.90471846687,"ARIMA_log",18.2214064962974,15.3292375137415,"06020301_tarragona_valencia_A_7"
"30",1865.28551799253,1618.27212960753,"ETS",10.6009236338412,9.19707953515122,"06020302_valencia_alicante_A_7"
"31",2474.48560130313,2161.05819317899,"ARIMA",14.0631729777678,12.2818799873774,"06020302_valencia_alicante_A_7"
"32",1774.97188018969,1412.93540572597,"ETS_log",10.0876467289346,8.03009522733636,"06020302_valencia_alicante_A_7"
"33",4745.01981710845,3127.43600230721,"ARIMA_log",26.9672349015854,17.7740672462119,"06020302_valencia_alicante_A_7"
"34",1709.54362611835,1599.75248485702,"ETS",7.67851071738388,7.18537767183353,"06020303_ferrol_fr_portuguesa_A_9"
"35",2053.64946005655,1730.64574300194,"ARIMA",9.22408129741535,7.77329205444635,"06020303_ferrol_fr_portuguesa_A_9"
"36",2725.18139305995,1900.37761178878,"ETS_log",12.2403044963167,8.53565222686299,"06020303_ferrol_fr_portuguesa_A_9"
"37",2517.86514870509,2195.44295164676,"ARIMA_log",11.309132001011,9.86095468759773,"06020303_ferrol_fr_portuguesa_A_9"
"38",716.276821567329,544.744058916271,"ETS",5.74953300343016,4.37264455704183,"06020401_bilbao_zaragoza_A_68"
"39",1569.5207723285,1368.89270550701,"ARIMA",12.5984971289814,10.9880615307996,"06020401_bilbao_zaragoza_A_68"
"40",747.143337252468,582.842430828098,"ETS_log",5.99729761801628,4.67845906909695,"06020401_bilbao_zaragoza_A_68"
"41",950.622906971169,818.331032567022,"ARIMA_log",7.63062214618051,6.56871915690337,"06020401_bilbao_zaragoza_A_68"
"42",1840.29272761449,1361.00193212247,"ETS",9.69595746899098,7.17071618610364,"06020402_burgos_arminon_A_1"
"43",1880.22895588482,1433.07892755508,"ARIMA",9.90636963058388,7.55046853295615,"06020402_burgos_arminon_A_1"
"44",1606.63095704223,1092.66352157081,"ETS_log",8.46486278736688,5.75692055622136,"06020402_burgos_arminon_A_1"
"45",1882.16364230889,1428.92394442119,"ARIMA_log",9.91656292048943,7.52857715711904,"06020402_burgos_arminon_A_1"
"46",888.622091357751,713.422212844952,"ETS",10.9862408525407,8.82020415212897,"06020403_leon_campomanes_A_66"
