"","Mes_numeric","IMD_total","nombre"
"1",ene. 1990,19110,"06020101_montmelo_la_junquera"
"2",feb. 1990,20015,"06020101_montmelo_la_junquera"
"3",mar. 1990,21410,"06020101_montmelo_la_junquera"
"4",abr. 1990,27033,"06020101_montmelo_la_junquera"
"5",may. 1990,24587,"06020101_montmelo_la_junquera"
"6",jun. 1990,29435,"06020101_montmelo_la_junquera"
"7",jul. 1990,40134,"06020101_montmelo_la_junquera"
"8",ago. 1990,42259,"06020101_montmelo_la_junquera"
"9",sep. 1990,28636,"06020101_montmelo_la_junquera"
"10",oct. 1990,23184,"06020101_montmelo_la_junquera"
"11",nov. 1990,21756,"06020101_montmelo_la_junquera"
"12",dic. 1990,21723,"06020101_montmelo_la_junquera"
"13",ene. 1991,19795,"06020101_montmelo_la_junquera"
"14",feb. 1991,19946,"06020101_montmelo_la_junquera"
"15",mar. 1991,24671,"06020101_montmelo_la_junquera"
"16",abr. 1991,24957,"06020101_montmelo_la_junquera"
"17",may. 1991,26696,"06020101_montmelo_la_junquera"
"18",jun. 1991,30378,"06020101_montmelo_la_junquera"
"19",jul. 1991,40572,"06020101_montmelo_la_junquera"
"20",ago. 1991,44741,"06020101_montmelo_la_junquera"
"21",sep. 1991,30167,"06020101_montmelo_la_junquera"
"22",oct. 1991,24763,"06020101_montmelo_la_junquera"
"23",nov. 1991,23204,"06020101_montmelo_la_junquera"
"24",dic. 1991,22890,"06020101_montmelo_la_junquera"
"25",ene. 1992,20180,"06020101_montmelo_la_junquera"
"26",feb. 1992,21667,"06020101_montmelo_la_junquera"
"27",mar. 1992,23262,"06020101_montmelo_la_junquera"
"28",abr. 1992,29430,"06020101_montmelo_la_junquera"
"29",may. 1992,28136,"06020101_montmelo_la_junquera"
"30",jun. 1992,30325,"06020101_montmelo_la_junquera"
"31",jul. 1992,39375,"06020101_montmelo_la_junquera"
"32",ago. 1992,44660,"06020101_montmelo_la_junquera"
"33",sep. 1992,30827,"06020101_montmelo_la_junquera"
"34",oct. 1992,25920,"06020101_montmelo_la_junquera"
"35",nov. 1992,23834,"06020101_montmelo_la_junquera"
"36",dic. 1992,23899,"06020101_montmelo_la_junquera"
"37",ene. 1993,22050,"06020101_montmelo_la_junquera"
"38",feb. 1993,21877,"06020101_montmelo_la_junquera"
"39",mar. 1993,22959,"06020101_montmelo_la_junquera"
"40",abr. 1993,28283,"06020101_montmelo_la_junquera"
"41",may. 1993,27624,"06020101_montmelo_la_junquera"
"42",jun. 1993,28724,"06020101_montmelo_la_junquera"
"43",jul. 1993,41710,"06020101_montmelo_la_junquera"
"44",ago. 1993,43037,"06020101_montmelo_la_junquera"
"45",sep. 1993,29828,"06020101_montmelo_la_junquera"
"46",oct. 1993,25222,"06020101_montmelo_la_junquera"
"47",nov. 1993,22220,"06020101_montmelo_la_junquera"
"48",dic. 1993,23238,"06020101_montmelo_la_junquera"
"49",ene. 1994,20827,"06020101_montmelo_la_junquera"
"50",feb. 1994,21863,"06020101_montmelo_la_junquera"
"51",mar. 1994,25691,"06020101_montmelo_la_junquera"
"52",abr. 1994,27269,"06020101_montmelo_la_junquera"
"53",may. 1994,28505,"06020101_montmelo_la_junquera"
"54",jun. 1994,30104,"06020101_montmelo_la_junquera"
"55",jul. 1994,42512,"06020101_montmelo_la_junquera"
"56",ago. 1994,41874,"06020101_montmelo_la_junquera"
"57",sep. 1994,29820,"06020101_montmelo_la_junquera"
"58",oct. 1994,25575,"06020101_montmelo_la_junquera"
"59",nov. 1994,23504,"06020101_montmelo_la_junquera"
"60",dic. 1994,24282,"06020101_montmelo_la_junquera"
"61",ene. 1995,21739,"06020101_montmelo_la_junquera"
"62",feb. 1995,22840,"06020101_montmelo_la_junquera"
"63",mar. 1995,24021,"06020101_montmelo_la_junquera"
"64",abr. 1995,30294,"06020101_montmelo_la_junquera"
"65",may. 1995,27277,"06020101_montmelo_la_junquera"
"66",jun. 1995,29907,"06020101_montmelo_la_junquera"
"67",jul. 1995,40840,"06020101_montmelo_la_junquera"
"68",ago. 1995,41874,"06020101_montmelo_la_junquera"
"69",sep. 1995,28886,"06020101_montmelo_la_junquera"
"70",oct. 1995,24054,"06020101_montmelo_la_junquera"
"71",nov. 1995,21036,"06020101_montmelo_la_junquera"
"72",dic. 1995,21423,"06020101_montmelo_la_junquera"
"73",ene. 1996,19912,"06020101_montmelo_la_junquera"
"74",feb. 1996,20104,"06020101_montmelo_la_junquera"
"75",mar. 1996,22362,"06020101_montmelo_la_junquera"
"76",abr. 1996,27280,"06020101_montmelo_la_junquera"
"77",may. 1996,25800,"06020101_montmelo_la_junquera"
"78",jun. 1996,29536,"06020101_montmelo_la_junquera"
"79",jul. 1996,39251,"06020101_montmelo_la_junquera"
"80",ago. 1996,43764,"06020101_montmelo_la_junquera"
"81",sep. 1996,28708,"06020101_montmelo_la_junquera"
"82",oct. 1996,24176,"06020101_montmelo_la_junquera"
"83",nov. 1996,21591,"06020101_montmelo_la_junquera"
"84",dic. 1996,21938,"06020101_montmelo_la_junquera"
"85",ene. 1997,20004,"06020101_montmelo_la_junquera"
"86",feb. 1997,22119,"06020101_montmelo_la_junquera"
"87",mar. 1997,26990,"06020101_montmelo_la_junquera"
"88",abr. 1997,26646,"06020101_montmelo_la_junquera"
"89",may. 1997,28805,"06020101_montmelo_la_junquera"
"90",jun. 1997,29909,"06020101_montmelo_la_junquera"
"91",jul. 1997,41192,"06020101_montmelo_la_junquera"
"92",ago. 1997,46739,"06020101_montmelo_la_junquera"
"93",sep. 1997,30935,"06020101_montmelo_la_junquera"
"94",oct. 1997,26546,"06020101_montmelo_la_junquera"
"95",nov. 1997,23747,"06020101_montmelo_la_junquera"
"96",dic. 1997,23798,"06020101_montmelo_la_junquera"
"97",ene. 1998,21448,"06020101_montmelo_la_junquera"
"98",feb. 1998,23208,"06020101_montmelo_la_junquera"
"99",mar. 1998,25053,"06020101_montmelo_la_junquera"
"100",abr. 1998,31180,"06020101_montmelo_la_junquera"
"101",may. 1998,30067,"06020101_montmelo_la_junquera"
"102",jun. 1998,31397,"06020101_montmelo_la_junquera"
"103",jul. 1998,43929,"06020101_montmelo_la_junquera"
"104",ago. 1998,48879,"06020101_montmelo_la_junquera"
"105",sep. 1998,32448,"06020101_montmelo_la_junquera"
"106",oct. 1998,28893,"06020101_montmelo_la_junquera"
"107",nov. 1998,25481,"06020101_montmelo_la_junquera"
"108",dic. 1998,25300,"06020101_montmelo_la_junquera"
"109",ene. 1999,23274,"06020101_montmelo_la_junquera"
"110",feb. 1999,25145,"06020101_montmelo_la_junquera"
"111",mar. 1999,27756,"06020101_montmelo_la_junquera"
"112",abr. 1999,33273,"06020101_montmelo_la_junquera"
"113",may. 1999,34039,"06020101_montmelo_la_junquera"
"114",jun. 1999,34943,"06020101_montmelo_la_junquera"
"115",jul. 1999,49391,"06020101_montmelo_la_junquera"
"116",ago. 1999,51711,"06020101_montmelo_la_junquera"
"117",sep. 1999,36058,"06020101_montmelo_la_junquera"
"118",oct. 1999,32365,"06020101_montmelo_la_junquera"
"119",nov. 1999,28270,"06020101_montmelo_la_junquera"
"120",dic. 1999,28633,"06020101_montmelo_la_junquera"
"121",ene. 2000,26309,"06020101_montmelo_la_junquera"
"122",feb. 2000,28654,"06020101_montmelo_la_junquera"
"123",mar. 2000,30505,"06020101_montmelo_la_junquera"
"124",abr. 2000,37829,"06020101_montmelo_la_junquera"
"125",may. 2000,34225,"06020101_montmelo_la_junquera"
"126",jun. 2000,38384,"06020101_montmelo_la_junquera"
"127",jul. 2000,51739,"06020101_montmelo_la_junquera"
"128",ago. 2000,53286,"06020101_montmelo_la_junquera"
"129",sep. 2000,38695,"06020101_montmelo_la_junquera"
"130",oct. 2000,31771,"06020101_montmelo_la_junquera"
"131",nov. 2000,29875,"06020101_montmelo_la_junquera"
"132",dic. 2000,29745,"06020101_montmelo_la_junquera"
"133",ene. 2001,28114,"06020101_montmelo_la_junquera"
"134",feb. 2001,30008,"06020101_montmelo_la_junquera"
"135",mar. 2001,32178,"06020101_montmelo_la_junquera"
"136",abr. 2001,39791,"06020101_montmelo_la_junquera"
"137",may. 2001,35393,"06020101_montmelo_la_junquera"
"138",jun. 2001,40823,"06020101_montmelo_la_junquera"
"139",jul. 2001,53385,"06020101_montmelo_la_junquera"
"140",ago. 2001,56748,"06020101_montmelo_la_junquera"
"141",sep. 2001,40222,"06020101_montmelo_la_junquera"
"142",oct. 2001,35116,"06020101_montmelo_la_junquera"
"143",nov. 2001,31960,"06020101_montmelo_la_junquera"
"144",dic. 2001,30348,"06020101_montmelo_la_junquera"
"145",ene. 2002,29383,"06020101_montmelo_la_junquera"
"146",feb. 2002,32148,"06020101_montmelo_la_junquera"
"147",mar. 2002,37023,"06020101_montmelo_la_junquera"
"148",abr. 2002,38322,"06020101_montmelo_la_junquera"
"149",may. 2002,39604,"06020101_montmelo_la_junquera"
"150",jun. 2002,43170,"06020101_montmelo_la_junquera"
"151",jul. 2002,55607,"06020101_montmelo_la_junquera"
"152",ago. 2002,61771,"06020101_montmelo_la_junquera"
"153",sep. 2002,42525,"06020101_montmelo_la_junquera"
"154",oct. 2002,37906,"06020101_montmelo_la_junquera"
"155",nov. 2002,35010,"06020101_montmelo_la_junquera"
"156",dic. 2002,33096,"06020101_montmelo_la_junquera"
"157",ene. 2003,31351,"06020101_montmelo_la_junquera"
"158",feb. 2003,32552,"06020101_montmelo_la_junquera"
"159",mar. 2003,35500,"06020101_montmelo_la_junquera"
"160",abr. 2003,42686,"06020101_montmelo_la_junquera"
"161",may. 2003,41456,"06020101_montmelo_la_junquera"
"162",jun. 2003,46889,"06020101_montmelo_la_junquera"
"163",jul. 2003,56940,"06020101_montmelo_la_junquera"
"164",ago. 2003,62135,"06020101_montmelo_la_junquera"
"165",sep. 2003,42742,"06020101_montmelo_la_junquera"
"166",oct. 2003,37866,"06020101_montmelo_la_junquera"
"167",nov. 2003,35244,"06020101_montmelo_la_junquera"
"168",dic. 2003,34839,"06020101_montmelo_la_junquera"
"169",ene. 2004,33015,"06020101_montmelo_la_junquera"
"170",feb. 2004,35053,"06020101_montmelo_la_junquera"
"171",mar. 2004,36310,"06020101_montmelo_la_junquera"
"172",abr. 2004,43720,"06020101_montmelo_la_junquera"
"173",may. 2004,43308,"06020101_montmelo_la_junquera"
"174",jun. 2004,45434,"06020101_montmelo_la_junquera"
"175",jul. 2004,58951,"06020101_montmelo_la_junquera"
"176",ago. 2004,62545,"06020101_montmelo_la_junquera"
"177",sep. 2004,45000,"06020101_montmelo_la_junquera"
"178",oct. 2004,41652,"06020101_montmelo_la_junquera"
"179",nov. 2004,37282,"06020101_montmelo_la_junquera"
"180",dic. 2004,37024,"06020101_montmelo_la_junquera"
"181",ene. 2005,33939,"06020101_montmelo_la_junquera"
"182",feb. 2005,36513,"06020101_montmelo_la_junquera"
"183",mar. 2005,40847,"06020101_montmelo_la_junquera"
"184",abr. 2005,42650,"06020101_montmelo_la_junquera"
"185",may. 2005,46224,"06020101_montmelo_la_junquera"
"186",jun. 2005,46469,"06020101_montmelo_la_junquera"
"187",jul. 2005,61821,"06020101_montmelo_la_junquera"
"188",ago. 2005,63166,"06020101_montmelo_la_junquera"
"189",sep. 2005,46642,"06020101_montmelo_la_junquera"
"190",oct. 2005,41661,"06020101_montmelo_la_junquera"
"191",nov. 2005,38487,"06020101_montmelo_la_junquera"
"192",dic. 2005,37671,"06020101_montmelo_la_junquera"
"193",ene. 2006,34947,"06020101_montmelo_la_junquera"
"194",feb. 2006,38738,"06020101_montmelo_la_junquera"
"195",mar. 2006,40458,"06020101_montmelo_la_junquera"
"196",abr. 2006,48569,"06020101_montmelo_la_junquera"
"197",may. 2006,47182,"06020101_montmelo_la_junquera"
"198",jun. 2006,50392,"06020101_montmelo_la_junquera"
"199",jul. 2006,63686,"06020101_montmelo_la_junquera"
"200",ago. 2006,65232,"06020101_montmelo_la_junquera"
"201",sep. 2006,49348,"06020101_montmelo_la_junquera"
"202",oct. 2006,44502,"06020101_montmelo_la_junquera"
"203",nov. 2006,41519,"06020101_montmelo_la_junquera"
"204",dic. 2006,40110,"06020101_montmelo_la_junquera"
"205",ene. 2007,38846,"06020101_montmelo_la_junquera"
"206",feb. 2007,40884,"06020101_montmelo_la_junquera"
"207",mar. 2007,43768,"06020101_montmelo_la_junquera"
"208",abr. 2007,49291,"06020101_montmelo_la_junquera"
"209",may. 2007,47982,"06020101_montmelo_la_junquera"
"210",jun. 2007,53008,"06020101_montmelo_la_junquera"
"211",jul. 2007,65379,"06020101_montmelo_la_junquera"
"212",ago. 2007,67941,"06020101_montmelo_la_junquera"
"213",sep. 2007,51680,"06020101_montmelo_la_junquera"
"214",oct. 2007,46199,"06020101_montmelo_la_junquera"
"215",nov. 2007,43814,"06020101_montmelo_la_junquera"
"216",dic. 2007,40601,"06020101_montmelo_la_junquera"
"217",ene. 2008,39423,"06020101_montmelo_la_junquera"
"218",feb. 2008,41892,"06020101_montmelo_la_junquera"
"219",mar. 2008,44642,"06020101_montmelo_la_junquera"
"220",abr. 2008,46430,"06020101_montmelo_la_junquera"
"221",may. 2008,47282,"06020101_montmelo_la_junquera"
"222",jun. 2008,48008,"06020101_montmelo_la_junquera"
"223",jul. 2008,62305,"06020101_montmelo_la_junquera"
"224",ago. 2008,66719,"06020101_montmelo_la_junquera"
"225",sep. 2008,46726,"06020101_montmelo_la_junquera"
"226",oct. 2008,41892,"06020101_montmelo_la_junquera"
"227",nov. 2008,38336,"06020101_montmelo_la_junquera"
"228",dic. 2008,36922,"06020101_montmelo_la_junquera"
"229",ene. 2009,34320,"06020101_montmelo_la_junquera"
"230",feb. 2009,37014,"06020101_montmelo_la_junquera"
"231",mar. 2009,38159,"06020101_montmelo_la_junquera"
"232",abr. 2009,44223,"06020101_montmelo_la_junquera"
"233",may. 2009,45261,"06020101_montmelo_la_junquera"
"234",jun. 2009,46926,"06020101_montmelo_la_junquera"
"235",jul. 2009,60787,"06020101_montmelo_la_junquera"
"236",ago. 2009,65334,"06020101_montmelo_la_junquera"
"237",sep. 2009,44373,"06020101_montmelo_la_junquera"
"238",oct. 2009,40517,"06020101_montmelo_la_junquera"
"239",nov. 2009,36715,"06020101_montmelo_la_junquera"
"240",dic. 2009,36092,"06020101_montmelo_la_junquera"
"241",ene. 2010,32630,"06020101_montmelo_la_junquera"
"242",feb. 2010,35444,"06020101_montmelo_la_junquera"
"243",mar. 2010,38304,"06020101_montmelo_la_junquera"
"244",abr. 2010,44975,"06020101_montmelo_la_junquera"
"245",may. 2010,44314,"06020101_montmelo_la_junquera"
"246",jun. 2010,45707,"06020101_montmelo_la_junquera"
"247",jul. 2010,61058,"06020101_montmelo_la_junquera"
"248",ago. 2010,63456,"06020101_montmelo_la_junquera"
"249",sep. 2010,43716,"06020101_montmelo_la_junquera"
"250",oct. 2010,39972,"06020101_montmelo_la_junquera"
"251",nov. 2010,36343,"06020101_montmelo_la_junquera"
"252",dic. 2010,35455,"06020101_montmelo_la_junquera"
"253",ene. 2011,32283,"06020101_montmelo_la_junquera"
"254",feb. 2011,34836,"06020101_montmelo_la_junquera"
"255",mar. 2011,35584,"06020101_montmelo_la_junquera"
"256",abr. 2011,42648,"06020101_montmelo_la_junquera"
"257",may. 2011,39914,"06020101_montmelo_la_junquera"
"258",jun. 2011,45540,"06020101_montmelo_la_junquera"
"259",jul. 2011,59182,"06020101_montmelo_la_junquera"
"260",ago. 2011,60556,"06020101_montmelo_la_junquera"
"261",sep. 2011,43403,"06020101_montmelo_la_junquera"
"262",oct. 2011,38178,"06020101_montmelo_la_junquera"
"263",nov. 2011,33460,"06020101_montmelo_la_junquera"
"264",dic. 2011,33578,"06020101_montmelo_la_junquera"
"265",ene. 2012,30850,"06020101_montmelo_la_junquera"
"266",feb. 2012,30991,"06020101_montmelo_la_junquera"
"267",mar. 2012,34301,"06020101_montmelo_la_junquera"
"268",abr. 2012,40036,"06020101_montmelo_la_junquera"
"269",may. 2012,39501,"06020101_montmelo_la_junquera"
"270",jun. 2012,42744,"06020101_montmelo_la_junquera"
"271",jul. 2012,54608,"06020101_montmelo_la_junquera"
"272",ago. 2012,58421,"06020101_montmelo_la_junquera"
"273",sep. 2012,40927,"06020101_montmelo_la_junquera"
"274",oct. 2012,33822,"06020101_montmelo_la_junquera"
"275",nov. 2012,32207,"06020101_montmelo_la_junquera"
"276",dic. 2012,31037,"06020101_montmelo_la_junquera"
"277",ene. 2013,28384,"06020101_montmelo_la_junquera"
"278",feb. 2013,28900,"06020101_montmelo_la_junquera"
"279",mar. 2013,33634,"06020101_montmelo_la_junquera"
"280",abr. 2013,35933,"06020101_montmelo_la_junquera"
"281",may. 2013,40730,"06020101_montmelo_la_junquera"
"282",jun. 2013,43016,"06020101_montmelo_la_junquera"
"283",jul. 2013,53743,"06020101_montmelo_la_junquera"
"284",ago. 2013,62432,"06020101_montmelo_la_junquera"
"285",sep. 2013,41729,"06020101_montmelo_la_junquera"
"286",oct. 2013,36915,"06020101_montmelo_la_junquera"
"287",nov. 2013,34268,"06020101_montmelo_la_junquera"
"288",dic. 2013,32951,"06020101_montmelo_la_junquera"
"289",ene. 2014,31225,"06020101_montmelo_la_junquera"
"290",feb. 2014,32529,"06020101_montmelo_la_junquera"
"291",mar. 2014,34960,"06020101_montmelo_la_junquera"
"292",abr. 2014,41178,"06020101_montmelo_la_junquera"
"293",may. 2014,41517,"06020101_montmelo_la_junquera"
"294",jun. 2014,45063,"06020101_montmelo_la_junquera"
"295",jul. 2014,54719,"06020101_montmelo_la_junquera"
"296",ago. 2014,65327,"06020101_montmelo_la_junquera"
"297",sep. 2014,43401,"06020101_montmelo_la_junquera"
"298",oct. 2014,39164,"06020101_montmelo_la_junquera"
"299",nov. 2014,35103,"06020101_montmelo_la_junquera"
"300",dic. 2014,35480,"06020101_montmelo_la_junquera"
"301",ene. 2015,33001,"06020101_montmelo_la_junquera"
"302",feb. 2015,34609,"06020101_montmelo_la_junquera"
"303",mar. 2015,36623,"06020101_montmelo_la_junquera"
"304",abr. 2015,43908,"06020101_montmelo_la_junquera"
"305",may. 2015,45872,"06020101_montmelo_la_junquera"
"306",jun. 2015,46056,"06020101_montmelo_la_junquera"
"307",jul. 2015,59530,"06020101_montmelo_la_junquera"
"308",ago. 2015,67612,"06020101_montmelo_la_junquera"
"309",sep. 2015,44597,"06020101_montmelo_la_junquera"
"310",oct. 2015,41377,"06020101_montmelo_la_junquera"
"311",nov. 2015,36442,"06020101_montmelo_la_junquera"
"312",dic. 2015,36706,"06020101_montmelo_la_junquera"
"313",ene. 2016,34806,"06020101_montmelo_la_junquera"
"314",feb. 2016,36943,"06020101_montmelo_la_junquera"
"315",mar. 2016,41109,"06020101_montmelo_la_junquera"
"316",abr. 2016,43163,"06020101_montmelo_la_junquera"
"317",may. 2016,45944,"06020101_montmelo_la_junquera"
"318",jun. 2016,48902,"06020101_montmelo_la_junquera"
"319",jul. 2016,63209,"06020101_montmelo_la_junquera"
"320",ago. 2016,68198,"06020101_montmelo_la_junquera"
"321",sep. 2016,47164,"06020101_montmelo_la_junquera"
"322",oct. 2016,42805,"06020101_montmelo_la_junquera"
"323",nov. 2016,38332,"06020101_montmelo_la_junquera"
"324",dic. 2016,38250,"06020101_montmelo_la_junquera"
"325",ene. 2017,35252,"06020101_montmelo_la_junquera"
"326",feb. 2017,38401,"06020101_montmelo_la_junquera"
"327",mar. 2017,40347,"06020101_montmelo_la_junquera"
"328",ene. 1990,30620,"06020102_barcelona_tarragona_A_7"
"329",feb. 1990,32990,"06020102_barcelona_tarragona_A_7"
"330",mar. 1990,34992,"06020102_barcelona_tarragona_A_7"
"331",abr. 1990,42919,"06020102_barcelona_tarragona_A_7"
"332",may. 1990,37842,"06020102_barcelona_tarragona_A_7"
"333",jun. 1990,43524,"06020102_barcelona_tarragona_A_7"
"334",jul. 1990,55332,"06020102_barcelona_tarragona_A_7"
"335",ago. 1990,59262,"06020102_barcelona_tarragona_A_7"
"336",sep. 1990,42999,"06020102_barcelona_tarragona_A_7"
"337",oct. 1990,36373,"06020102_barcelona_tarragona_A_7"
"338",nov. 1990,35055,"06020102_barcelona_tarragona_A_7"
"339",dic. 1990,34832,"06020102_barcelona_tarragona_A_7"
"340",ene. 1991,31702,"06020102_barcelona_tarragona_A_7"
"341",feb. 1991,33002,"06020102_barcelona_tarragona_A_7"
"342",mar. 1991,40682,"06020102_barcelona_tarragona_A_7"
"343",abr. 1991,39456,"06020102_barcelona_tarragona_A_7"
"344",may. 1991,40355,"06020102_barcelona_tarragona_A_7"
"345",jun. 1991,45619,"06020102_barcelona_tarragona_A_7"
"346",jul. 1991,55830,"06020102_barcelona_tarragona_A_7"
"347",ago. 1991,62478,"06020102_barcelona_tarragona_A_7"
"348",sep. 1991,44266,"06020102_barcelona_tarragona_A_7"
"349",oct. 1991,38466,"06020102_barcelona_tarragona_A_7"
"350",nov. 1991,36026,"06020102_barcelona_tarragona_A_7"
"351",dic. 1991,36109,"06020102_barcelona_tarragona_A_7"
"352",ene. 1992,31687,"06020102_barcelona_tarragona_A_7"
"353",feb. 1992,34521,"06020102_barcelona_tarragona_A_7"
"354",mar. 1992,37133,"06020102_barcelona_tarragona_A_7"
"355",abr. 1992,44994,"06020102_barcelona_tarragona_A_7"
"356",may. 1992,40238,"06020102_barcelona_tarragona_A_7"
"357",jun. 1992,42156,"06020102_barcelona_tarragona_A_7"
"358",jul. 1992,54115,"06020102_barcelona_tarragona_A_7"
"359",ago. 1992,60769,"06020102_barcelona_tarragona_A_7"
"360",sep. 1992,43078,"06020102_barcelona_tarragona_A_7"
"361",oct. 1992,37852,"06020102_barcelona_tarragona_A_7"
"362",nov. 1992,34137,"06020102_barcelona_tarragona_A_7"
"363",dic. 1992,35383,"06020102_barcelona_tarragona_A_7"
"364",ene. 1993,31732,"06020102_barcelona_tarragona_A_7"
"365",feb. 1993,33026,"06020102_barcelona_tarragona_A_7"
"366",mar. 1993,35079,"06020102_barcelona_tarragona_A_7"
"367",abr. 1993,43769,"06020102_barcelona_tarragona_A_7"
"368",may. 1993,39358,"06020102_barcelona_tarragona_A_7"
"369",jun. 1993,41187,"06020102_barcelona_tarragona_A_7"
"370",jul. 1993,54083,"06020102_barcelona_tarragona_A_7"
"371",ago. 1993,57242,"06020102_barcelona_tarragona_A_7"
"372",sep. 1993,41588,"06020102_barcelona_tarragona_A_7"
"373",oct. 1993,35987,"06020102_barcelona_tarragona_A_7"
"374",nov. 1993,32929,"06020102_barcelona_tarragona_A_7"
"375",dic. 1993,35123,"06020102_barcelona_tarragona_A_7"
"376",ene. 1994,30824,"06020102_barcelona_tarragona_A_7"
"377",feb. 1994,33399,"06020102_barcelona_tarragona_A_7"
"378",mar. 1994,39328,"06020102_barcelona_tarragona_A_7"
"379",abr. 1994,39424,"06020102_barcelona_tarragona_A_7"
"380",may. 1994,39380,"06020102_barcelona_tarragona_A_7"
"381",jun. 1994,42045,"06020102_barcelona_tarragona_A_7"
"382",jul. 1994,55657,"06020102_barcelona_tarragona_A_7"
"383",ago. 1994,57667,"06020102_barcelona_tarragona_A_7"
"384",sep. 1994,42730,"06020102_barcelona_tarragona_A_7"
"385",oct. 1994,37838,"06020102_barcelona_tarragona_A_7"
"386",nov. 1994,36101,"06020102_barcelona_tarragona_A_7"
"387",dic. 1994,38202,"06020102_barcelona_tarragona_A_7"
"388",ene. 1995,34276,"06020102_barcelona_tarragona_A_7"
"389",feb. 1995,36310,"06020102_barcelona_tarragona_A_7"
"390",mar. 1995,37527,"06020102_barcelona_tarragona_A_7"
"391",abr. 1995,48221,"06020102_barcelona_tarragona_A_7"
"392",may. 1995,40970,"06020102_barcelona_tarragona_A_7"
"393",jun. 1995,44600,"06020102_barcelona_tarragona_A_7"
"394",jul. 1995,57079,"06020102_barcelona_tarragona_A_7"
"395",ago. 1995,59609,"06020102_barcelona_tarragona_A_7"
"396",sep. 1995,46637,"06020102_barcelona_tarragona_A_7"
"397",oct. 1995,40752,"06020102_barcelona_tarragona_A_7"
"398",nov. 1995,36021,"06020102_barcelona_tarragona_A_7"
"399",dic. 1995,36643,"06020102_barcelona_tarragona_A_7"
"400",ene. 1996,33852,"06020102_barcelona_tarragona_A_7"
"401",feb. 1996,35666,"06020102_barcelona_tarragona_A_7"
"402",mar. 1996,38983,"06020102_barcelona_tarragona_A_7"
"403",abr. 1996,45358,"06020102_barcelona_tarragona_A_7"
"404",may. 1996,41620,"06020102_barcelona_tarragona_A_7"
"405",jun. 1996,46473,"06020102_barcelona_tarragona_A_7"
"406",jul. 1996,56060,"06020102_barcelona_tarragona_A_7"
"407",ago. 1996,62627,"06020102_barcelona_tarragona_A_7"
"408",sep. 1996,45786,"06020102_barcelona_tarragona_A_7"
"409",oct. 1996,40780,"06020102_barcelona_tarragona_A_7"
"410",nov. 1996,37282,"06020102_barcelona_tarragona_A_7"
"411",dic. 1996,37396,"06020102_barcelona_tarragona_A_7"
"412",ene. 1997,33356,"06020102_barcelona_tarragona_A_7"
"413",feb. 1997,38379,"06020102_barcelona_tarragona_A_7"
"414",mar. 1997,46070,"06020102_barcelona_tarragona_A_7"
"415",abr. 1997,42603,"06020102_barcelona_tarragona_A_7"
"416",may. 1997,44988,"06020102_barcelona_tarragona_A_7"
"417",jun. 1997,46708,"06020102_barcelona_tarragona_A_7"
"418",jul. 1997,57954,"06020102_barcelona_tarragona_A_7"
"419",ago. 1997,66254,"06020102_barcelona_tarragona_A_7"
"420",sep. 1997,48315,"06020102_barcelona_tarragona_A_7"
"421",oct. 1997,43107,"06020102_barcelona_tarragona_A_7"
"422",nov. 1997,39245,"06020102_barcelona_tarragona_A_7"
"423",dic. 1997,40246,"06020102_barcelona_tarragona_A_7"
"424",ene. 1998,35921,"06020102_barcelona_tarragona_A_7"
"425",feb. 1998,40428,"06020102_barcelona_tarragona_A_7"
"426",mar. 1998,43126,"06020102_barcelona_tarragona_A_7"
"427",abr. 1998,51287,"06020102_barcelona_tarragona_A_7"
"428",may. 1998,45980,"06020102_barcelona_tarragona_A_7"
"429",jun. 1998,48458,"06020102_barcelona_tarragona_A_7"
"430",jul. 1998,60644,"06020102_barcelona_tarragona_A_7"
"431",ago. 1998,67513,"06020102_barcelona_tarragona_A_7"
"432",sep. 1998,49817,"06020102_barcelona_tarragona_A_7"
"433",oct. 1998,45922,"06020102_barcelona_tarragona_A_7"
"434",nov. 1998,42271,"06020102_barcelona_tarragona_A_7"
"435",dic. 1998,41525,"06020102_barcelona_tarragona_A_7"
"436",ene. 1999,34269,"06020102_barcelona_tarragona_A_7"
"437",feb. 1999,38363,"06020102_barcelona_tarragona_A_7"
"438",mar. 1999,42547,"06020102_barcelona_tarragona_A_7"
"439",abr. 1999,48772,"06020102_barcelona_tarragona_A_7"
"440",may. 1999,46729,"06020102_barcelona_tarragona_A_7"
"441",jun. 1999,48008,"06020102_barcelona_tarragona_A_7"
"442",jul. 1999,61663,"06020102_barcelona_tarragona_A_7"
"443",ago. 1999,67252,"06020102_barcelona_tarragona_A_7"
"444",sep. 1999,49851,"06020102_barcelona_tarragona_A_7"
"445",oct. 1999,45288,"06020102_barcelona_tarragona_A_7"
"446",nov. 1999,39801,"06020102_barcelona_tarragona_A_7"
"447",dic. 1999,41619,"06020102_barcelona_tarragona_A_7"
"448",ene. 2000,37510,"06020102_barcelona_tarragona_A_7"
"449",feb. 2000,42454,"06020102_barcelona_tarragona_A_7"
"450",mar. 2000,46219,"06020102_barcelona_tarragona_A_7"
"451",abr. 2000,55423,"06020102_barcelona_tarragona_A_7"
"452",may. 2000,48013,"06020102_barcelona_tarragona_A_7"
"453",jun. 2000,54856,"06020102_barcelona_tarragona_A_7"
"454",jul. 2000,67449,"06020102_barcelona_tarragona_A_7"
