TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;
;;;;;
MONTMELO-PAPIOL A-7;;;;;
;;;;;
;;;;;
Feb;26,6;107.850;-1;25.529;-3,4
Ene;26,6;92.683;-2,3;21.382;2,5
2009 Dic;26,6;101.173;0,1;22.487;-0,4
Nov;26,6;108.005;-0,7;25.561;-1,2
Oct;26,6;111.123;-3,2;24.052;-11,7
Sep;26,6;111.175;-4;23.596;-10,3
Ago;26,6;106.659;-2;16.154;-7,9
Jul;26,6;125.819;-3,5;24.586;-14,5
Jun;26,6;116.034;2,2;25.082;1,4
May;26,6;114.206;-2,1;24.902;-12,9
Abr;26,6;108.332;-11;23.684;-24,7
Mar;26,6;110.889;-3,2;26.257;-5,1
Feb;26,6;108.991;-7,8;26.440;-16
Ene;26,6;94.856;-8;20.854;-31,4
2008 Dic;26,6;101.108;-4,1;22.575;-8,1
Nov;26,6;108.712;-8;25.861;-15,9
Oct;26,6;114.809;-3,6;27.249;-10,1
Sep;26,6;115.822;-3;26.296;-2,6
Ago;26,6;108.787;-3,4;17.547;-13,4
Jul;26,6;130.436;-2,1;28.748;-1,5
Jun;26,6;113.538;-9,4;24.740;-18,4
May;26,6;116.657;-4,8;28.580;-8,9
Abr;26,6;121.661;5,9;31.432;14,6
Mar;26,6;114.600;-8;27.676;-15,2
Feb;26,6;118.178;2,2;31.466;-0,1
Ene;26,6;103.058;-7,3;30.393;0,9
2007 Dic;26,6;105.377;0,1;24.569;-0,2
Nov;26,6;118.174;2,1;30.758;-0,5
Oct;26,6;119.080;3,4;30.320;6,1
Sep;26,6;119.402;0,7;26.999;0,4
Ago;26,6;112.604;2,6;20.258;3,5
Jul;26,6;133.228;2,1;29.196;5,7
Jun;26,6;125.296;3,7;30.320;3,9
May;26,6;122.562;2,3;31.389;4,2
Abr;26,6;114.892;1,6;27.423;6,3
Mar;26,6;124.606;5,4;32.645;4,9
Feb;26,6;115.669;2,4;31.512;22,4
Ene;26,6;111.179;3,8;30.112;6,8
2006 Dic;26,6;105.294;0,6;24.613;-4,2
Nov;26,6;115.747;3,1;30.909;2,8
Oct;26,6;115.218;4,6;28.571;11,1
Sep;26,6;118.520;1,2;26.887;-1,3
Ago;26,6;109.800;-0,4;19.578;3,3
Jul;26,6;130.489;1,7;27.629;3,3
Jun;26,6;120.878;2,3;29.194;0,6
May;26,6;119.842;2,7;30.128;6,5
Abr;26,6;113.111;0,2;25.809;-10,7
Mar;26,6;118.167;8,6;31.120;14,3
Feb;26,6;113.010;9,3;25.748;-8,8
